B02,B03,B04,B08,B11,B12,NDVI,NDWI,BSI,cloud_cover,manganese_label,elevation_m,slope_deg,terrain_relief_m
0.1837,0.2255,0.2665,0.3779,0.5111,0.4331,0.172874,-0.252569,0.16129,0.0,0,351.522125,1.603784,10.456146
0.1422,0.1814,0.166,0.4014,0.2932,0.2161,0.414875,-0.377488,-0.084164,0.0,0,278.003052,1.544733,6.082092
0.1892,0.2176,0.2544,0.2983,0.3951,0.3661,0.079428,-0.156426,0.14248,0.0,0,275.714294,1.156803,8.337189
0.1511,0.1732,0.2094,0.3059,0.4304,0.3247,0.18727,-0.276978,0.166667,0.0,0,667.132019,7.543856,88.291199
0.1688,0.2027,0.2036,0.372,0.3521,0.2756,0.292564,-0.294588,0.013589,0.0,0,265.228271,2.586777,14.739899
0.1806,0.2028,0.2501,0.3281,0.4557,0.3845,0.134901,-0.236014,0.162289,0.0,0,287.787292,0.935475,9.732758
0.1792,0.2035,0.2365,0.3412,0.4692,0.3801,0.181236,-0.2528,0.15113,0.0,0,327.155487,3.502699,26.200348
0.146,0.172,0.1995,0.4229,0.3755,0.254,0.358933,-0.421752,0.005333,0.0,0,623.63208,4.194022,34.028137
0.2056,0.2445,0.2954,0.4123,0.4901,0.4149,0.165183,-0.255481,0.119424,0.0,1,320.957611,0.649486,16.303741
0.1193,0.1417,0.158,0.251,0.3182,0.2402,0.227384,-0.27833,0.125103,7e-06,0,398.165009,4.569346,69.013245
0.1699,0.2034,0.2443,0.3062,0.4252,0.353,0.112443,-0.201727,0.16882,0.0,0,276.978302,1.51427,9.325195
0.1621,0.1881,0.2037,0.2992,0.3528,0.2972,0.189899,-0.227991,0.093535,0.0,0,316.889099,1.478909,12.52774
0.2074,0.2294,0.2296,0.3775,0.366,0.3179,0.243617,-0.244027,0.009064,0.0,0,290.364105,4.96028,19.923401
0.2008,0.2399,0.2865,0.4262,0.5325,0.4435,0.196015,-0.279688,0.13278,0.0,0,283.470001,0.369418,8.73642
0.1289,0.1587,0.1927,0.2785,0.3648,0.2626,0.182088,-0.274016,0.15556,7e-06,0,408.624298,1.282426,30.209534
0.1405,0.1862,0.1785,0.423,0.3293,0.225,0.406484,-0.388707,-0.051993,0.0,0,542.983582,3.55964,31.556641
0.1271,0.1616,0.1464,0.3958,0.3322,0.2169,0.459978,-0.420165,-0.044234,0.0,0,458.514282,23.840122,223.859283
0.1696,0.2033,0.2238,0.3595,0.4095,0.3296,0.232642,-0.277541,0.089642,0.0,1,300.602173,1.944027,7.316223
0.1439,0.1819,0.17,0.381,0.3574,0.2647,0.38294,-0.353704,0.002376,0.0,0,336.255493,6.155256,102.778107
0.1516,0.1706,0.1999,0.2456,0.3788,0.3673,0.102581,-0.180202,0.185982,0.0,0,286.753143,0.628398,7.782501
0.2561,0.3054,0.3284,0.4198,0.4624,0.4046,0.12216,-0.15775,0.078339,0.0,1,323.042023,0.474864,12.465912
0.1429,0.1598,0.178,0.2981,0.445,0.3248,0.252258,-0.302031,0.171053,0.0,0,338.98877,1.513907,12.648376
0.1854,0.2333,0.2924,0.4162,0.5672,0.4796,0.174711,-0.281601,0.176567,0.0,1,352.141144,3.421516,33.898346
0.1774,0.2015,0.2344,0.274,0.3604,0.3336,0.077891,-0.152471,0.137067,0.0,0,270.722412,0.241061,5.548462
0.1475,0.1723,0.1813,0.2903,0.3269,0.2627,0.231128,-0.25508,0.074419,0.0,0,349.221558,23.541811,170.137878
0.1553,0.1881,0.1694,0.4188,0.3438,0.2825,0.424005,-0.380129,-0.05601,0.0,0,264.044373,0.362839,5.65213
0.1808,0.2132,0.2451,0.3618,0.4734,0.3847,0.192289,-0.258435,0.139481,0.0,0,278.444336,0.506214,11.399567
0.1762,0.2048,0.2383,0.2876,0.3927,0.3568,0.093744,-0.168156,0.152722,0.0,1,315.724487,0.538657,10.442535
0.1478,0.1792,0.2158,0.3065,0.349,0.2659,0.173655,-0.262096,0.108429,0.0,1,610.727905,1.080379,23.318176
0.1328,0.1502,0.1646,0.2844,0.3188,0.2307,0.266815,-0.30879,0.073507,0.0,0,524.741394,2.453908,78.927124
0.1487,0.1919,0.1939,0.3639,0.3789,0.3054,0.304769,-0.309464,0.055463,0.0,1,351.778931,2.448504,58.454071
0.1935,0.2213,0.2215,0.3654,0.3328,0.2644,0.245187,-0.245611,-0.004132,0.0,0,277.358673,0.505712,6.491241
0.156,0.1862,0.1878,0.3408,0.3725,0.2927,0.289444,-0.293359,0.06007,0.0,0,395.970001,24.276213,90.520508
0.1926,0.2407,0.2852,0.3817,0.4687,0.3714,0.144699,-0.226542,0.135221,0.0,1,621.56665,0.543244,13.047424
0.1563,0.1784,0.2023,0.3112,0.3978,0.3347,0.212074,-0.271242,0.124204,0.0,1,365.531464,12.543403,56.276093
0.1943,0.23,0.2803,0.3886,0.5353,0.4235,0.161908,-0.256385,0.166393,0.0,0,523.229858,2.980816,32.073059
0.1937,0.2355,0.2814,0.3766,0.5501,0.4451,0.144681,-0.230518,0.186332,0.0,0,543.618896,1.411302,23.523682
0.1317,0.1545,0.1558,0.3385,0.2971,0.2081,0.369614,-0.373225,-0.018741,0.0,0,544.729492,12.242561,47.626648
0.1492,0.1833,0.2144,0.3556,0.3248,0.2449,0.247719,-0.319725,0.03295,7e-06,0,460.315033,3.537013,38.273865
0.144,0.1747,0.2064,0.3412,0.3862,0.2941,0.246165,-0.322737,0.099647,7e-06,0,327.473419,3.418096,10.550903
0.1214,0.1532,0.1362,0.5253,0.3335,0.2364,0.588209,-0.548416,-0.158545,0.0,1,321.989807,0.638303,11.352417
0.1705,0.2131,0.2492,0.3409,0.4457,0.3992,0.155397,-0.230686,0.152118,0.0,1,362.796356,1.698091,48.40979
0.143,0.1626,0.1836,0.3151,0.3728,0.2727,0.263686,-0.319238,0.096895,0.0,0,523.02594,5.860452,72.856689
0.1793,0.2061,0.2569,0.3618,0.4556,0.3643,0.169549,-0.274168,0.136726,0.0,1,359.301605,1.775627,50.598602
0.1572,0.1753,0.1941,0.2547,0.3239,0.277,0.135027,-0.184651,0.114098,0.0,0,476.162598,9.056401,106.44873
0.1477,0.1812,0.1878,0.3856,0.3371,0.2466,0.34496,-0.360621,-0.007938,0.0,0,613.612,4.133394,72.349487
0.181,0.2109,0.2385,0.3794,0.5058,0.4132,0.22803,-0.285448,0.140952,0.0,1,321.423065,1.327775,17.430267
0.1406,0.1622,0.1729,0.2981,0.3711,0.2784,0.265817,-0.295242,0.107154,0.0,0,419.450836,8.160955,76.716125
0.2069,0.2476,0.3043,0.3939,0.5011,0.4282,0.12833,-0.228059,0.145499,0.0,1,325.315521,0.777375,21.296478
0.1384,0.1703,0.1477,0.3769,0.2699,0.2016,0.436904,-0.377558,-0.104727,0.0,0,264.4711,2.1433,10.861511
0.1776,0.2071,0.241,0.304,0.4122,0.3801,0.115596,-0.189591,0.151216,0.0,0,282.228119,0.468263,7.697906
0.1735,0.1984,0.232,0.383,0.4877,0.39,0.245528,-0.317509,0.12788,0.0,1,329.318146,7.428712,25.429108
0.2086,0.2317,0.2763,0.3084,0.3866,0.3497,0.0549,-0.142011,0.123655,0.0,1,612.432312,1.29125,32.830444
0.1724,0.2074,0.2531,0.3811,0.4991,0.3832,0.201829,-0.295157,0.152179,0.0,1,624.870178,7.2597,46.607666
0.1441,0.1726,0.2084,0.3112,0.3611,0.2847,0.197844,-0.286482,0.111436,7e-06,0,346.760681,0.76202,9.689972
0.1453,0.184,0.1963,0.3623,0.4338,0.3189,0.297172,-0.326377,0.107673,0.0,0,393.798737,1.573051,13.847687
0.1817,0.2151,0.2579,0.391,0.455,0.3724,0.205116,-0.290216,0.109054,0.0,0,350.87738,0.961366,11.840271
0.1552,0.1853,0.2317,0.3236,0.4025,0.312,0.165496,-0.271763,0.139623,0.0,1,619.624573,2.059343,17.343506
0.2024,0.2469,0.2831,0.4206,0.3938,0.3099,0.195396,-0.260225,0.041465,0.0,0,276.110413,2.039429,6.413605
0.1825,0.2193,0.257,0.3585,0.4744,0.3871,0.164907,-0.240914,0.149638,0.0,0,287.85965,5.295974,10.629822
0.1522,0.1775,0.2058,0.2903,0.3784,0.3088,0.170329,-0.241129,0.138015,0.0,1,647.05188,7.469228,62.118286
0.1728,0.2001,0.2561,0.3176,0.4417,0.385,0.107199,-0.226965,0.17455,0.0,0,582.996338,5.8426,21.416931
0.156,0.18,0.2224,0.3218,0.4554,0.3382,0.182653,-0.282583,0.17307,0.0,1,632.221313,2.548724,24.139526
0.1478,0.1889,0.2094,0.4077,0.426,0.3203,0.321342,-0.366745,0.067092,0.0,1,334.422516,4.617097,46.179413
0.1833,0.2139,0.2476,0.3073,0.3746,0.3232,0.107587,-0.179202,0.11826,0.0,0,284.940216,0.853845,8.909698
0.2146,0.2638,0.3051,0.3713,0.5225,0.4606,0.097871,-0.169265,0.170994,0.0,0,307.701141,1.040062,12.568573
0.1446,0.1677,0.1844,0.3285,0.4416,0.3481,0.280951,-0.324063,0.139114,0.0,0,365.058777,2.939972,12.9245
0.1748,0.2056,0.231,0.3446,0.4611,0.3926,0.197359,-0.252635,0.142551,0.0,0,348.683685,2.047547,20.740692
0.1357,0.1554,0.1378,0.3932,0.2473,0.1848,0.480979,-0.433467,-0.15733,0.0,0,255.718903,0.182899,6.202896
0.1354,0.1617,0.1547,0.3369,0.3526,0.2571,0.370627,-0.351384,0.035729,0.0,0,322.197662,1.241589,12.914948
0.1942,0.2321,0.2594,0.4187,0.4826,0.3992,0.234921,-0.286724,0.095284,0.0,1,330.715729,1.046483,22.03418
0.1477,0.1735,0.1833,0.3559,0.338,0.2308,0.320104,-0.344541,0.01727,0.0,0,579.913208,21.02124,289.680573
0.162,0.1834,0.211,0.2509,0.3414,0.3139,0.086382,-0.155423,0.144515,0.0,0,557.072083,1.54946,13.038025
0.1449,0.1618,0.1845,0.246,0.3457,0.2978,0.142857,-0.206474,0.151232,0.0,0,482.805481,10.075606,105.664795
0.1346,0.1576,0.1712,0.3035,0.337,0.2489,0.278702,-0.316417,0.074078,0.0,0,601.80896,1.72341,29.968994
0.0994,0.0998,0.0925,0.0832,0.1208,0.1236,-0.052931,0.09071,0.077545,0.0,0,323.0,0.0,7.558197
0.1237,0.1557,0.1365,0.3579,0.2537,0.1736,0.447816,-0.393692,-0.104841,0.0,0,564.955872,3.988526,33.202698
0.1518,0.1723,0.1964,0.2898,0.4044,0.3553,0.192102,-0.254274,0.152724,0.0,1,369.567505,7.823147,48.878632
0.2043,0.2445,0.2924,0.3732,0.4786,0.4072,0.121394,-0.208354,0.143493,0.0,1,317.849884,0.789113,13.81015
0.1793,0.2078,0.2536,0.3489,0.4444,0.3473,0.158174,-0.253458,0.138477,0.0,0,294.653687,3.889265,6.646332
0.1732,0.2024,0.24,0.3487,0.4993,0.4086,0.184644,-0.265469,0.172376,0.0,0,361.309601,1.6412,14.362732
0.1903,0.2296,0.2689,0.3677,0.4708,0.4018,0.155199,-0.231207,0.140017,0.0,0,280.972137,0.334143,7.864288
0.1906,0.2305,0.2654,0.4083,0.4793,0.384,0.212112,-0.278334,0.108514,0.0,1,327.852081,1.554193,21.202881
0.1299,0.1533,0.1333,0.3656,0.2495,0.1815,0.465624,-0.409135,-0.128316,0.0,1,302.247528,0.433716,4.921265
0.1288,0.1545,0.1424,0.3521,0.3184,0.2422,0.424065,-0.390051,-0.021344,0.0,0,336.119843,0.46428,10.428986
0.1652,0.1937,0.2304,0.332,0.4491,0.3598,0.180654,-0.263078,0.154925,0.0,0,425.258301,16.061078,83.10672
0.159,0.193,0.2147,0.3726,0.4554,0.3508,0.268857,-0.317539,0.115253,0.0,0,418.071686,6.45186,44.244598
0.1485,0.1771,0.192,0.3751,0.4248,0.3175,0.322871,-0.358566,0.081726,0.0,0,524.09082,3.442551,37.960297
0.1504,0.1877,0.2066,0.371,0.3718,0.3347,0.284626,-0.328083,0.051828,0.0,0,289.465912,3.567027,12.441437
0.1827,0.2027,0.2296,0.3543,0.4076,0.3175,0.213564,-0.272172,0.085335,0.0,0,281.926422,0.034194,8.226318
0.1698,0.194,0.232,0.3349,0.4935,0.4086,0.181513,-0.266402,0.179483,0.0,0,343.878815,0.711309,14.840485
0.145,0.1714,0.1886,0.3372,0.3819,0.3136,0.282617,-0.325993,0.08388,0.0,1,349.667938,1.901365,48.946594
0.1453,0.1768,0.1871,0.3196,0.3673,0.3081,0.261496,-0.287671,0.087805,0.0,0,318.872437,3.13289,15.058746
0.1554,0.1917,0.2284,0.3708,0.4806,0.3862,0.23765,-0.3184,0.147992,0.0,1,326.288635,2.552489,25.92926
0.1513,0.1897,0.1754,0.4108,0.3216,0.2358,0.401569,-0.368193,-0.061467,0.0,0,276.332397,1.4434,7.204956
0.181,0.2169,0.2506,0.3326,0.4036,0.3432,0.140604,-0.210555,0.120397,0.0,0,294.940948,1.122705,10.18457
0.1627,0.1828,0.2266,0.3334,0.4643,0.3608,0.190714,-0.291747,0.164111,0.0,0,438.292542,7.626263,38.027283
0.1598,0.1839,0.2086,0.3733,0.4112,0.3302,0.283038,-0.339914,0.075202,0.0,1,324.280731,5.558527,96.554474
